market_id,app_id,app,downloads,price,average_score,in_app_purchases,group,nest,market_share,num_apps_category
United States 2019,com.jds.batim,Bendy and the Ink Machine,93380,8.117361678323054,4.4000001,FALSE,GAME_ADVENTURE,GAME1,3.713793693152668e-4,37
United States 2019,com.AngryNeighbor,Angry Neighbor,100000,2.293611920756656,4,FALSE,GAME_ADVENTURE,GAME1,3.977076133168417e-4,37
United States 2019,com.wb.goog.legohp1,LEGO Harry Potter: Years 1-4,102660,5.196196523986208,4,FALSE,GAME_ADVENTURE,GAME1,4.082866358310697e-4,37
United States 2019,air.com.RustyLake.RustyLakeParadise,Rusty Lake Paradise,100000,3.7580319189477804,4.8000002,FALSE,GAME_ADVENTURE,GAME1,3.977076133168417e-4,37
United States 2019,com.seven2.pawapp2,PAW Patrol Pups to the Rescue,100000,2.625991893864562,3.4000001,TRUE,GAME_ADVENTURE,GAME1,3.977076133168417e-4,37
United States 2019,com.theamazingfrog.thefroggameamazingsimulator.thefroggunadventure,Amazing Swat Frog Simulator City,1000,3.3335189805413887,1.9,FALSE,GAME_ADVENTURE,GAME1,3.977076133168417e-6,37
United States 2019,com.bonusxp.fate,Stranger Things 3: The Game,7420,5.555659484879941,4.4000001,FALSE,GAME_ADVENTURE,GAME1,2.9509904908109655e-5,37
United States 2019,com.disney.castleofillusion_goo,Castle of Illusion,739580,5.538398636189048,4.1999998,FALSE,GAME_ADVENTURE,GAME1,0.002941365966568698,37
United States 2019,com.playdead.limbo.full,LIMBO,886560,5.562519328561689,4.6999998,FALSE,GAME_ADVENTURE,GAME1,0.003525916616621792,37
United States 2019,com.square_enix.FFIXww.android_googleplay,FINAL FANTASY IX for Android,160420,21.511405616381996,4.3000002,FALSE,GAME_ADVENTURE,GAME1,6.380025532828774e-4,37
United States 2019,air.com.RustyLake.RustyLakeRoots,Rusty Lake: Roots,181500,3.7461058296948995,4.8000002,FALSE,GAME_ADVENTURE,GAME1,7.218393181700677e-4,37
United States 2019,com.wb.goog.lbbg,LEGO Â® Batman: Beyond Gotham,230500,5.032450916224498,4.1999998,TRUE,GAME_ADVENTURE,GAME1,9.167160486953202e-4,37
United States 2019,com.D3Go.mendel,Alien: Blackout,36440,1.8786691723291464,4,FALSE,GAME_ADVENTURE,GAME1,1.4492465429265713e-4,37
United States 2019,co.uk.wixgames.ducklifebattle,Duck Life: Battle,10000,2.476285714555354,4.1999998,FALSE,GAME_ADVENTURE,GAME1,3.977076133168417e-5,37
